user,activity,posture,AVGNN,SDNN,RMSSD,pNNxx,TINN,powerVLF,powerLF,powerHF,ratioHFLF
2,focused-active,sit,841.73,74.605,49.95,29.014,355,13.333,90,31.333,1.1601
2,focused-active,sit,782.23,56.105,31.239,10.733,235,10,53.333,33,1.183
2,focused-active,sit,783.65,91.302,45.082,15,530,33.333,46.667,21.333,2.3731
2,focused-active,sit,733.8,110.91,41.874,19.118,561,33.333,40,15.333,1.23
2,focused-active,sit,792.11,56.184,33.051,10.875,252,10,86.667,18.667,3.9958
2,focused-active,sit,783.26,49.332,27.831,7.0681,241,66.667,40,21.333,2.7262
2,focused-active,sit,735.45,91.515,35.669,12.039,384,26.667,43.333,19,4.5115
2,focused-active,sit,889.05,80.213,59.683,34.524,364,33.333,10,25.333,1.0906
2,focused-active,sit,792.11,56.184,33.051,10.875,252,10,86.667,18.667,3.9958
2,focused-active,sit,783.26,49.332,27.831,7.0681,241,66.667,40,21.333,2.7262
2,focused-active,sit,735.45,91.515,35.669,12.039,384,26.667,43.333,19,4.5115
2,focused-active,sit,889.05,80.213,59.683,34.524,364,33.333,10,25.333,1.0906
2,focused-active,sit,806.08,66.245,47.424,23.656,314,23.333,76.667,15,1.9098
2,focused-active,sit,798.06,60.162,36.562,13.904,285,23.333,10,33.667,1.7192
2,focused-active,sit,795.43,59.023,29.768,9.5745,273,33.333,10.333,31.333,2.2713
2,focused-active,sit,798.23,59.7,33.386,9.8667,253,33.333,11.333,31.667,1.389
2,focused-active,sit,767.8,71.908,27.934,7.9692,332,33.333,50,15.333,3.1833
2,focused-active,sit,748.61,40.022,21.196,1.7544,212,20,10.667,16,2.6488
2,focused-active,sit,822.61,66.359,35.578,12.672,324,16.667,53.333,15,1.387
2,focused-active,sit,806.85,69.949,36.474,11.59,323,20,50,31.333,2.0599
2,focused-active,stand,674.8,36.115,17.238,67.72,192,10,43.333,15,3.7489
2,focused-active,stand,706.72,65.64,23.147,3.7825,333,13.333,46.667,15.333,14.269
2,focused-active,stand,694.34,54.322,22.212,3.9443,278,33.333,40,15,3.6979
2,focused-passive,sit,592.59,37.714,15.367,1.1881,186,66.667,43.333,24.667,3.8341
2,focused-passive,sit,634.34,41.368,10.672,42.373,184,33.333,40,16,3.1045
2,focused-passive,sit,645.55,38.646,11.386,21.552,178,66.667,11,16.333,17.064
2,focused-passive,sit,664.17,54.585,15.292,88.889,249,16.667,43.333,24.333,8.1268
2,focused-passive,sit,673.78,46.035,19.02,2.7027,283,36.667,43.333,16.333,4.8406
2,focused-passive,sit,689.69,41.297,15.925,1.1521,210,66.667,40,16,6.1986
2,focused-passive,sit,696.81,57.378,17.59,1.6317,248,16.667,96.667,15.333,7.0646
2,focused-passive,sit,704.15,50.346,20.112,2.3529,228,16.667,43.333,17.333,3.8228
2,focused-passive,sit,727.83,46.88,21.572,2.9197,277,10,53.333,16.667,6.4095
2,focused-passive,sit,727.01,55.065,19.862,2.4331,261,20,40,15.333,4.7394
2,focused-passive,sit,722.25,66.06,25.985,3.8647,355,30,83.333,15.333,8.6638
2,focused-passive,sit,711.16,68.333,33.274,6.4133,340,33.333,63.333,17.667,4.8991
2,focused-passive,sit,715.54,79.429,31.892,8.6124,414,13.333,43.333,15.333,6.209
2,focused-passive,sit,758.08,62.078,32.241,6.8354,325,66.667,40,17.333,2.0164
2,focused-passive,sit,728.25,71.213,31.964,7.056,384,13.333,76.667,17.667,4.2189
2,focused-passive,sit,742.93,89.412,45.453,12.987,555,33.333,80,18.333,4.4886
2,focused-passive,sit,672.58,95.861,19.066,2.4775,355,33.333,50,16,5.4356
2,focused-passive,sit,804.24,72.129,34.526,11.29,386,33.333,10,17,2.9327
2,focused-passive,sit,781.26,77.09,32.985,10.705,387,33.333,40,17.333,2.7126
2,focused-passive,sit,761,59.607,27.502,6.1069,268,10,90,26.333,2.22
2,focused-passive,sit,712.44,64.652,29.8,7.619,297,33.333,10,15.333,2.8397
2,focused-passive,sit,749.61,59.956,32.086,9.5,258,33.333,90,17,2.1773
2,focused-passive,sit,735.71,57.369,32.354,11.302,258,30,40,18.667,2.0509
2,focused-passive,sit,767.83,66.968,39.374,16.71,346,66.667,46.667,19.333,1.2772
2,focused-passive,sit,765.95,66.346,38.266,11.509,372,66.667,53.333,21,1.1607
2,focused-passive,sit,758.79,54.604,33.435,10.406,261,26.667,13.333,15.333,1.8537
2,focused-passive,sit,775.67,62.178,40.345,17.922,270,10,11.667,15,1.7982
2,focused-passive,sit,743.79,71.578,37.752,11.194,377,20,86.667,18.333,1.8934
2,focused-passive,sit,744.21,55.222,32.098,7.2139,260,33.333,86.667,25.333,2.899
2,focused-passive,sit,931.6,81.674,42.247,19.375,406,23.333,83.333,25,98.067
2,focused-passive,sit,655.77,95.78,26.523,3.9387,349,33.333,70,19.333,4.1211
2,focused-passive,sit,885.29,80.676,59.176,30.267,465,66.667,11,15,1.5275
2,focused-passive,sit,797.24,118.57,52.426,21.333,644,33.333,83.333,19.333,2.8104
2,focused-passive,sit,884.66,88.165,56.86,29.882,435,33.333,60,15.333,2.8644
2,focused-passive,sit,862.15,84.07,45.984,22.832,393,20,11.667,20,3.1021
2,focused-passive,sit,810.74,112.94,36.615,15.405,467,33.333,70,25.333,3.7528
2,focused-passive,sit,864.81,112.02,48.068,20.52,406,33.333,73.333,23.333,1.3633
2,focused-passive,sit,931.6,81.674,42.247,19.375,406,23.333,83.333,25,98.067
2,focused-passive,sit,655.77,95.78,26.523,3.9387,349,33.333,70,19.333,4.1211
2,focused-passive,sit,679.23,32.256,13.881,68.182,147,33.333,46.667,26.667,2.0401
2,household-chores,stand,632.9,36.669,12.829,21.142,180,26.667,90,15.667,5.0838
2,household-chores,stand,590.96,31.872,8.3355,0,136,13.333,50,17.667,5.5841
2,household-chores,stand,647.36,46.556,17.909,1.2959,274,33.333,73.333,15,4.7219
2,household-chores,stand,633.87,44.353,15.474,63.425,207,33.333,90,16,8.4432
2,household-chores,stand,802.4,82.766,46.232,19.035,370,20,40,32,45.185
2,household-chores,stand,854.65,60.755,54.537,33.429,308,13.333,60,34.667,1.3269
2,household-chores,stand,866.73,60.417,57.301,32.464,316,30,43.333,31,73.957
2,household-chores,stand,581.87,60.201,18.449,2.5292,317,33.333,10,15,6.9373
2,household-chores,stand,574.87,49.838,21.203,1.7308,330,20,46.667,18.333,8.7953
2,household-chores,stand,591.07,27.089,11.328,19.724,130,10,83.333,15,6.6065
2,household-chores,stand,646.49,34.71,15.332,43.197,201,16.667,11,16,3.2472
2,household-chores,stand,616.14,32.18,16.07,1.6461,187,33.333,10.333,16.667,5.5804
2,household-chores,stand,592.84,33.641,15.612,79.208,188,23.333,83.333,16.333,3.7801
2,household-chores,stand,591.26,39.267,13.898,59.406,197,26.667,80,16.333,4.4273
2,household-chores,stand,585.89,44.151,17.132,2.1569,211,13.333,93.333,17,3.0536
2,household-chores,stand,583.12,38.147,13.92,97.466,179,40,43.333,17.333,6.382
2,household-chores,stand,620.54,44.163,18.122,2.2774,220,33.333,70,15,5.878
2,household-chores,stand,629.07,38.088,15.947,84.034,173,66.667,96.667,15.333,3.7978
2,household-chores,stand,609.21,38.809,16.136,1.4257,253,26.667,83.333,15.667,4.0841
2,household-chores,stand,597.04,35.842,13.239,39.92,193,16.667,10,16,7.5769
2,household-chores,stand,581.44,24.674,10.307,19.417,144,36.667,40,15,3.2349
2,household-chores,stand,587.71,36.973,14.045,98.232,174,23.333,90,17.667,8.5442
2,household-chores,stand,616.64,73.788,37.612,4.7619,482,33.333,40,17,1.3884
2,household-chores,stand,633.84,31.254,15.173,42.373,157,36.667,40,15.333,3.4036
2,household-chores,stand,788.95,102.51,48.237,15.303,521,0,11,25.333,1.1822
2,household-chores,stand,796.62,70.948,44.39,19.251,454,10,12,15,2.3291
2,household-chores,stand,759.26,67.915,32.094,11.168,316,26.667,83.333,18.667,4.9246
2,household-chores,stand,759.7,59.582,34.607,13.198,266,26.667,90,18,3.0666
2,household-chores,stand,751.82,55.602,32.109,10.302,282,10,11.333,18.667,3.5264
2,household-chores,stand,769.71,64.639,25.938,5.9126,331,66.667,46.667,20,3.9286
2,household-chores,stand,772.83,64.925,27.009,8.5052,301,13.333,80,16,5.4107
2,household-chores,stand,770.28,62.324,31.019,8.5052,273,33.333,76.667,15,2.8423
2,household-chores,stand,756.53,70.434,33.72,9.8485,340,33.333,43.333,15,2.2045
2,household-chores,stand,730.39,49.211,25.581,6.3415,225,23.333,66.667,15.667,3.5311
2,household-chores,stand,681.53,43.435,20.888,2.5057,227,33.333,40,16.667,2.4165
2,household-chores,stand,695.81,81.292,24.749,6.5116,330,33.333,60,17.333,5.1449
2,household-chores,stand,723.87,52.161,29.301,7.0218,231,23.333,80,15,1.9354
2,household-chores,stand,688.5,61.671,21.113,4.3678,296,10,46.667,19.333,8.1343
2,household-chores,stand,652.66,53.623,19.561,3.268,218,33.333,96.667,15.333,8.8992
2,household-chores,stand,660.06,48.322,18.522,1.3245,216,10,76.667,17.667,3.3452
2,leisure-passive,sit,823.22,77.332,47.651,21.212,348,23.333,43.333,31.333,1.416
2,leisure-passive,sit,839.2,58.347,52.566,36.134,301,16.667,12,33.667,72.016
2,leisure-passive,sit,834.01,68.865,42.819,20.334,336,33.333,40,31,1.3707
2,leisure-passive,sit,798.71,57.569,39.59,19.786,277,20,56.667,31.667,81.466
2,leisure-passive,sit,807.64,76.322,38.589,18.817,367,66.667,40,30,1.4866
2,leisure-passive,sit,848.93,51.385,27.74,5.6818,209,20,12.667,30.667,1.4618
2,leisure-passive,sit,755.76,72.796,31.835,8.6076,311,13.333,40,31.667,1.5261
2,leisure-passive,sit,799.54,71.707,37.812,16.845,311,30,50,29.667,3.4225
2,leisure-passive,sit,802.29,109.66,42.232,12.129,540,23.333,50,15.667,2.1381
2,leisure-passive,sit,761.21,92.847,43.236,13.486,487,10,43.333,15.667,3.0512
2,leisure-passive,sit,727.17,76.295,32.767,9.2024,361,16.667,46.667,16,2.9779
2,leisure-passive,sit,784.11,94.274,32.743,8.6614,372,10,50,15.333,8.2471
2,leisure-passive,sit,801.91,70.116,35.083,10.724,303,66.667,43.333,17.667,1.8762
2,leisure-passive,sit,775.67,114.85,52.844,23.896,523,66.667,53.333,16.667,1.8735
2,leisure-passive,sit,847.19,93.679,39.318,11.681,364,66.667,83.333,16.333,2.9991
2,leisure-passive,sit,781.31,149.8,41.829,16.667,511,33.333,11.333,16,2.2138
2,leisure-passive,sit,848.88,104.99,48.544,18.75,484,33.333,60,15,2.5683
2,leisure-passive,sit,901.79,80.282,41.889,15.663,372,33.333,40,24.667,1.8329
2,leisure-passive,sit,890.6,109.45,49.734,20.536,422,16.667,40,24.667,1.4209
2,leisure-passive,sit,711.34,73.435,31.628,4.9881,368,33.333,10,15,6.1116
2,leisure-passive,sit,805.65,136.97,56.465,22.642,546,33.333,10,28.333,75.024
2,leisure-passive,sit,719.76,68.88,27.696,6.9712,304,33.333,86.667,15,3.1153
2,leisure-passive,sit,704.72,45.691,27.171,7.0755,215,26.667,13.333,16.333,1.1135
2,leisure-passive,sit,651.34,45.325,15.793,86.957,224,10,40,22.667,1.4052
2,leisure-passive,lie,772.04,73.917,43.532,6.0209,411,16.667,40,24.667,7.3279
2,leisure-passive,lie,813.76,65.276,27.457,4.3478,303,20,40,31.333,3.0544
2,leisure-passive,lie,823.4,47.463,35.895,14.601,219,20,66.667,34.333,94.407
2,leisure-passive,lie,784.98,70.136,47.255,21.728,324,23.333,93.333,27,2.0547
2,leisure-passive,lie,753.15,107.23,51.775,7.8086,791,20,66.667,18.333,3.4977
2,leisure-passive,lie,836.93,58.748,21.895,1.9608,272,20,70,29.333,3.4775
2,leisure-passive,lie,885.5,46.741,27.421,5.9172,205,20,43.333,26.667,1.405
2,leisure-passive,lie,902.12,76.772,37.432,15.71,346,20,46.667,28.667,1.7327
2,leisure-passive,lie,955.71,45.448,35.325,14.696,214,36.667,40,29,89.101
2,leisure-passive,lie,970.98,39.553,30.193,7.1429,192,23.333,60,29.333,1.5594
2,leisure-passive,sit,756.52,86.668,32.175,11.392,360,66.667,10.333,19,4.2902
2,leisure-passive,sit,728.1,44.009,35.674,7.2993,316,40,40,27,1.4005
2,leisure-passive,sit,716.52,69.499,25.536,5.0239,284,33.333,43.333,22.667,2.9088
2,leisure-passive,sit,661.32,42.726,20.74,3.0905,199,33.333,10,15,4.1036
2,leisure-passive,sit,735.75,67.378,37.075,15.025,349,23.333,46.667,37.333,2.0812
2,leisure-passive,sit,699.94,97.441,23.812,5.1522,395,33.333,60,15.667,3.5186
2,leisure-passive,sit,723.81,101.64,43.34,15.459,474,33.333,14,18.667,1.4349
2,leisure-passive,sit,759.5,45.169,29.484,6.8528,210,10,10,33.333,2.1707
2,leisure-passive,sit,727.07,43.415,34.477,5.5825,308,16.667,90,16.333,1.8033
2,leisure-passive,sit,737.45,47.069,24.485,5.9113,221,13.333,40,15,1.9077
2,leisure-passive,sit,665.82,59.81,24.883,4,275,33.333,96.667,15,6.1224
2,leisure-passive,sit,698.92,60.259,31.953,9.3677,338,30,53.333,17.333,4.9524
2,leisure-passive,sit,760.7,73.382,30.3,10.687,335,33.333,43.333,23.667,1.0733
2,leisure-passive,sit,660.92,90.515,34.583,7.2848,412,33.333,40,16.667,2.1323
2,leisure-passive,sit,779.94,52.533,36.6,13.281,234,33.333,93.333,16,1.2312
2,movement,stand,530.91,25.089,12.969,89.445,150,10,86.667,19.333,1.5864
2,movement,stand,535.7,21.473,6.0121,0,101,30,70,20,18.228
2,movement,stand,553.82,42.668,36.038,1.8904,340,66.667,43.333,18.333,4.881
2,movement,stand,529.54,23.121,5.6373,0,124,10,76.667,15.333,10.813
2,movement,stand,534.85,17.833,4.8825,0,83,23.333,76.667,16.333,8.9978
2,movement,stand,609.43,69.766,30.936,1.0183,399,33.333,40,16.333,5.4742
2,movement,stand,576.48,27.312,9.8016,0,132,66.667,83.333,39.667,4.2981
2,movement,stand,582.96,42.415,14.805,1.1696,182,26.667,86.667,22.333,4.0925
2,movement,stand,578.43,34.129,12.169,58.027,186,33.333,70,20.333,7.2899
2,movement,stand,607.32,47.429,16.331,1.8256,266,33.333,66.667,19,2.4452
2,movement,stand,617.17,61.496,16.683,1.8519,280,33.333,53.333,18.333,5.1705
2,movement,stand,661.59,35.521,13.557,44.248,188,66.667,43.333,18.667,5.1059
2,movement,stand,649.85,31.575,12.278,43.384,152,13.333,70,19.333,2.6821
2,movement,stand,669.39,35.064,12.555,44.743,180,26.667,66.667,15,11.148
2,movement,stand,650.62,32.258,11.723,21.739,156,33.333,86.667,16,8.5189
2,movement,stand,621.44,44.434,15.086,1.2448,227,33.333,76.667,18.333,10.289
2,movement,stand,646.05,42.764,14.778,64.795,221,26.667,53.333,18.667,9.7287
2,movement,stand,643.68,43.182,13.168,64.516,224,23.333,40,27.667,12.758
2,movement,stand,581.56,49.014,27.083,2.5292,359,66.667,53.333,39.333,1.5293
2,movement,stand,608.78,43.912,11.492,40.65,172,33.333,63.333,16.333,12.558
2,movement,stand,668.54,53.05,31.154,3.8031,282,66.667,10.667,16.667,2.1956
2,movement,stand,659.31,52.801,19.302,1.5419,254,33.333,93.333,26.667,1.6264
2,movement,stand,731.45,78.124,27.042,6.6015,406,33.333,86.667,15,1.8678
2,movement,stand,689.84,55.189,24.159,2.3474,396,33.333,50,16.667,3.9134
2,movement,stand,646.51,68.58,33.299,86.768,374,33.333,43.333,15.667,1.3076
2,movement,stand,628.73,37.523,15.845,21.008,187,66.667,43.333,34.667,2.4471
2,movement,stand,669.6,39.268,13.473,89.485,191,66.667,73.333,18,6.4245
2,movement,stand,698.36,30.268,13.148,46.62,133,33.333,83.333,17.333,5.5613
2,movement,stand,723.38,66.57,22.295,4.1063,277,33.333,63.333,16.667,3.6792
2,movement,stand,635.02,73.81,34.524,3.4783,459,10,43.333,15.667,3.3544
2,rest-active,sit,836.05,125.78,68.312,27.171,626,66.667,40,17.667,1.3742
2,rest-active,sit,864.81,84.358,50.364,24.566,366,10,86.667,16.667,1.1584
2,rest-active,sit,751.48,86.61,36.285,14.824,325,66.667,73.333,21.333,3.3386
2,rest-active,sit,790.83,80.855,44.979,22.222,375,33.333,56.667,16.667,2.1609
2,rest-active,sit,745.48,58.767,34.751,11.471,262,33.333,40,25,1.7621
2,rest-active,sit,720.68,65.122,27.373,5.0481,323,66.667,10,20.667,3.4506
2,rest-active,sit,672.63,77.78,28.613,7.8652,311,33.333,66.667,16,4.4153
2,rest-active,sit,665.2,66.208,19.397,2,244,13.333,53.333,17.333,3.0262
2,rest-active,sit,761.32,55.411,26.661,5.0891,250,26.667,43.333,23.667,2.0695
2,rest-active,sit,766.74,43.404,29.727,8.9744,198,66.667,10.333,30,99.999
2,rest-active,sit,769.42,61.718,29.913,9.2545,284,13.333,63.333,16.667,1.512
2,rest-active,sit,743.91,59.654,30.002,9.7015,314,20,12.333,15,2.5599
2,rest-active,sit,742.98,69.732,38.103,9.6774,347,20,56.667,20.333,1.3097
2,rest-active,sit,727.75,62.795,32.758,6.0827,337,33.333,40,24.333,1.9938
2,rest-active,sit,738.41,57.248,29.235,5.9259,256,33.333,40,23.667,1.523
2,rest-active,sit,730.39,55.767,26.723,6.0976,255,13.333,43.333,17.333,2.6714
2,rest-active,sit,739.35,47.014,22.443,3.9506,235,23.333,10.333,15,4.1552
2,rest-active,sit,720.33,36.618,16.408,1.2019,184,30,56.667,27.333,1.7339
2,rest-active,sit,753.21,32.841,16.156,75.567,158,23.333,10.333,29.333,1.7423
2,sleep,lie,910.37,49.838,38.151,15.244,283,23.333,46.667,32,1.2802
2,sleep,lie,890.5,69.223,48.611,26.786,319,33.333,90,15.333,1.4961
2,sleep,lie,797.84,153.89,42.669,16.533,697,33.333,70,17,2.8689
2,sleep,lie,889.35,111.36,55.744,26.409,584,66.667,80,15,1.6707
2,sleep,lie,933.83,92.312,46.158,23.438,373,23.333,40,28.667,3.3981
2,sleep,lie,929.16,98.379,53.479,25.466,426,23.333,56.667,18,1.7018
2,sleep,lie,972.53,107.38,55.5,25.733,437,20,83.333,21.667,4.4713
2,sleep,lie,953.59,149.13,61.04,24.841,599,33.333,40,28.667,1.9129
2,sleep,lie,852.59,99.052,37.115,14,407,23.333,40,28.667,3.68
2,sleep,lie,896.49,106.74,40.606,18.318,471,10,46.667,26.667,5.593
2,sleep,lie,950.68,112.1,60.26,25.714,445,26.667,56.667,26,5.4177
2,sleep,lie,1037.1,76.497,53.138,35.64,359,33.333,73.333,26,1.0611
2,sleep,lie,1076.4,49.754,59.004,47.292,246,20,43.333,26.333,40.518
2,sleep,lie,1083.7,53.059,62.134,51.087,242,23.333,11.667,26.667,24.606
2,sleep,lie,1084.7,51.819,57.336,41.091,233,23.333,43.333,27.667,84.079
2,sleep,lie,994.01,124.32,61.298,23.667,532,13.333,50,15.667,3.9436
2,sleep,lie,999.47,100.11,53.424,21.333,477,20,53.333,26,2.6898
2,sleep,lie,1045.9,80.513,56.382,33.566,427,20,40,23,2.3959
2,sleep,lie,1029.4,135.3,67.715,26.804,653,13.333,46.667,24.333,1.9772
2,sleep,lie,1036.7,122.88,94.623,50,498,40,40,24,2.6198
2,sleep,lie,1029.8,94.084,80.248,34.828,417,30,63.333,24,1.6168
2,sleep,lie,1032.6,118.03,86.435,44.983,512,36.667,40,21.333,2.2063
2,sleep,lie,924.23,136.41,61.432,25.617,692,66.667,63.333,24.333,4.2011
2,sleep,lie,1011.1,114.43,50.477,26.102,500,13.333,46.667,24.333,3.4138
2,sleep,lie,986.41,84.348,42.961,16.832,395,13.333,40,28,1.963
2,sleep,lie,998.09,147.54,83.154,32.333,617,26.667,90,24,2.9866
2,sleep,lie,1068.1,154.97,71.847,39.427,665,20,46.667,23.333,3.2377
2,sleep,lie,1044.4,82.365,52.295,27.875,405,23.333,43.333,22.667,1.7937
2,sleep,lie,1001.5,132.31,63.533,28.523,614,13.333,50,23.333,1.7633
2,sleep,lie,1097.9,161.12,103.94,52.768,694,16.667,63.333,26.333,49.221
2,sleep,lie,1133.5,74.221,67.414,44.106,352,33.333,50,21.667,78.753
2,sleep,lie,1135.4,85.316,60.665,40.304,360,20,66.667,25.667,69.644
2,sleep,lie,1134.8,56.378,49.659,31.559,288,23.333,40,26.667,84.047
2,sleep,lie,1128.1,52.842,47.783,27.547,285,23.333,46.667,27.333,1.082
2,sleep,lie,1118.6,51.048,48.511,28.464,244,20,63.333,28.333,79.026
2,sleep,lie,1115.3,50.756,51.155,34.328,253,23.333,43.333,28.333,70.907
2,sleep,lie,1039.8,121.12,47.977,28.223,446,10,40,27.333,1.1263
2,sleep,lie,996.94,59.292,33.457,13.667,289,10,40,24,82.321
2,sleep,lie,996.83,85.823,45.301,22,347,23.333,40,24.667,2.7205
2,sleep,lie,1030.8,62.794,41.305,23.793,312,33.333,73.333,23.333,94.605
2,sleep,lie,989.43,119.74,55.237,26.159,528,33.333,40,24.333,1.1286
2,sleep,lie,1070.3,95.069,67.394,41.577,466,10,43.333,25,2.3734
2,sleep,lie,1022.3,147,83.024,38.225,688,30,43.333,23.667,2.0329
